id, name, address, zip_code, city, state
357, Terry's Turf Club, 4618 Eastern Ave, 45226, Cincinnati, OH
358, The Parkette Drive-in, 1230 E. New Circle Road, 40505, Lexington, KY
359, Virgil's Cafe, 710 Fairfield Ave, 41073, Bellevue, KY
360, Wallace Station, 3854 Old Frankfort Pike, 40383, Versailles, KY
361, Pier 23 Cafe, 23 Pier, 94124, San Francisco, CA
362, Arnold's Country Kitchen, 605 8th Ave S, 37203, Nashville, TN
363, Athens Family Restaurant, 2526 Franklin Pike, 37204, Nashville, TN
364, Bro's Cajun Cuisine, 3214 Charlotte Ave, 37209, Nashville, TN
365, Cafe Rakka, 71 New Shackle Island Rd, 37075, Hendersonville, TN
366, Martin's BBQ Joint, 7238 Nolensville Road, 37135, Nolensville, TN
367, Savarino's Cucina, 2121 Belcourt Ave, 37212, Nashville, TN
368, Happy Gillis Cafe and Hang Out, 549 Gillis Street, 64106, Kansas City, MO
369, Jamaica Way Restaurant and Catering, 900 Rosa L Parks Blvd, 37208, Nashville, TN
370, Swagger Fine Spirits and Food, 8431 Wornall Road, 64114, Kansas City, MO
371, The Brick, 1727 McGee Street, 64108, Kansas City, MO
372, Woodyard BBQ, 3001 Merriam Lane, 66106, Kansas City, KS
373, RJ's Bob-Be-Que, 5835 Lamar Ave, 66202, Mission, KS
374, Smokin Guns BBQ and Catering, 1218 Swift Avenue, 64116, Kansas City, MO
375, Murphy's Bar and Grill, 2 Merchant St, 96813, Honolulu, HI
376, Comet Ping Pong, 5037 Connecticut Ave NW, 20008, Washington, DC
377, La Caraquena, 300 W Broad Street, 22046, Falls Church, VA
378, Metro 29 Diner, 4711 Lee Hwy, 22207, Arlington, VA
379, Oohhs and Aahhs Soul Food, 1005 U Street NW, 20001, Washington, DC
380, Tortilla Cafe, 210 7th Street SE, 20003, Washington, DC
381, Tune Inn, 331 Pennsylvania Ave SE, 20003, Washington, DC
382, Greek Corner, 2366 Massachusetts Ave, 02140, Cambridge, MA
383, Rino's Place, 258 Saratoga Street, 02128, Boston, MA
384, The Lobster Shanty, 25 Front Street, 01970, Salem, MA
385, Porthole Restaurant, 20 Custom House Wharf, 04101, Portland, ME
386, Maine Diner, 2265 Post Road, 04090, Wells, ME
